Unnamed: 0,cell_type,pt_root_id,pt_x,pt_y,pt_z
0,23P,864691135639004475,71136,110528,20220
1,23P,864691135771677771,72576,108656,20291
2,23P,864691135864089470,79632,121456,16754
3,23P,864691135560505569,80128,124000,16563
4,23P,864691136315868311,80144,126928,16622
5,23P,864691136324529047,80560,120192,16874
6,23P,864691135462278045,80896,123024,16680
7,23P,864691136292100759,81328,117168,17042
8,23P,864691135945519140,81600,119296,16558
9,23P,864691135274095077,80080,123744,17536
10,23P,864691136143282839,80768,121040,17743
11,23P,864691135589949195,81040,125248,17264
12,23P,864691136123769638,81440,125856,17524
13,23P,864691136237494332,81168,124816,18561
14,23P,864691135945490980,81408,119504,18261
15,23P,864691135614145483,79888,121248,19370
16,23P,864691135581600621,79712,124736,19420
17,23P,864691135945493796,80448,122768,18821
18,23P,864691135162232877,66144,117984,20072
19,23P,864691135403774702,67616,125632,20278
20,23P,864691135366984953,69264,119728,20245
21,23P,864691134988455802,71216,117440,20016
22,23P,864691135538107762,71344,121536,20214
23,23P,864691135724233643,64400,121984,20069
24,23P,864691136436395166,65248,123392,20039
25,23P,864691136723556861,63936,120160,20830
26,23P,864691135776658528,65536,126464,20622
27,23P,864691135941166708,64384,130432,20111
28,23P,864691136115294545,62784,136512,20533
29,4P,864691135593557035,81296,154544,17629
30,23P,864691135501810013,81840,143264,17919
31,23P,864691136333746355,66224,155712,20154
32,23P,864691135122295079,69248,151872,20206
33,4P,864691135617737103,70384,158976,20150
34,23P,864691135571221285,70848,154288,20280
35,23P,864691135699275042,73712,150832,20289
36,23P,864691136084042860,76784,150240,20192
37,23P,864691136236651535,78432,146416,19632
38,23P,864691135497652243,79232,145568,20250
39,23P,864691134964448287,79632,156800,20083
40,4P,864691136422867759,79584,159360,19637
41,23P,864691135272178705,81280,145328,20130
42,4P,864691135776620896,81952,158752,19928
43,23P,864691135560468961,65680,158192,20757
44,23P,864691135739618196,65664,153632,20707
45,23P,864691135385316693,66112,149040,20326
46,23P,864691136436641694,81488,144336,19820
47,23P,864691135099838240,72880,155696,20931
48,23P,864691135385346389,74864,156528,20603
49,4P,864691135181708290,74848,159824,20942
50,23P,864691135823391340,76048,145120,20994
51,4P,864691135469590457,75952,159712,20297
52,23P,864691135622549929,76608,149248,20512
53,23P,864691135181824514,78240,144928,20855
54,4P,864691135194418986,79344,157408,21022
55,23P,864691135337743846,79648,155904,20916
56,23P,864691135939649702,80176,147424,20860
57,23P,864691136388279671,67024,153936,21198
58,23P,864691135345220511,72176,149936,21365
59,23P,864691135785293252,73760,145696,21287
60,23P,864691135393988085,74368,154208,21261
61,23P,864691135790612844,74784,156272,21297
62,23P,864691135994564778,77392,145856,21326
63,23P,864691135654090434,77504,150896,21246
64,4P,864691135134661401,81824,161888,16732
65,4P,864691135307106630,68272,162784,20215
66,4P,864691135753655501,71184,161824,20089
67,4P,864691135926317012,72112,167568,20249
68,4P,864691135740187243,73552,165072,20046
69,4P,864691136108738488,73680,171856,20140
70,4P,864691136672649607,73536,170640,20304
71,4P,864691136209027260,75040,161648,19917
72,4P,864691135700221307,76032,162512,20268
73,4P,864691135337706982,76528,172016,20263
74,4P,864691135615794025,77104,160400,19912
75,4P,864691135012369398,76992,168320,19877
76,4P,864691135758476622,77216,169440,20200
77,4P,864691135581601133,78000,165808,20245
78,4P,864691134964448031,80128,164112,20113
